Word Pair,video_id,date
"('si', 'extraan')",7193773253163257094,2023-01-28T18:34:20.000Z
"('honor', 'siembra')",7196547924862438661,2023-02-05T06:01:41.000Z
"('siembra', 'polica')",7196547924862438661,2023-02-05T06:01:41.000Z
"('polica', 'nacional')",7196547924862438661,2023-02-05T06:01:41.000Z
"('nacional', 'per')",7196547924862438661,2023-02-05T06:01:41.000Z
"('saber', 'proviene')",7190333524149308678,2023-01-19T12:06:27.000Z
"('parlamento', 'catalua')",7193322038755396870,2023-01-27T13:23:24.000Z
"('catalua', 'pronuncia')",7193322038755396870,2023-01-27T13:23:24.000Z
"('lima', 'come')",7199130983440944389,2023-02-12T05:05:11.000Z
"('come', 'sierra')",7199130983440944389,2023-02-12T05:05:11.000Z
"('lima', 'protesta')",7200794922071395589,2023-02-16T16:42:00.000Z
"('protesta', 'asesinana')",7200794922071395589,2023-02-16T16:42:00.000Z
"('asesinana', 'jvenen')",7200794922071395589,2023-02-16T16:42:00.000Z
"('ministerio', 'interior')",7197182405122215174,2023-02-06T23:03:37.000Z
"('interior', 'abre')",7197182405122215174,2023-02-06T23:03:37.000Z
"('abre', 'puerta')",7197182405122215174,2023-02-06T23:03:37.000Z
"('puerta', 'difamadores')",7197182405122215174,2023-02-06T23:03:37.000Z
"('difamadores', 'terruqueadores')",7197182405122215174,2023-02-06T23:03:37.000Z
"('terruqueadores', 'gravsimo')",7197182405122215174,2023-02-06T23:03:37.000Z
"('artistas', 'unidos')",7200381427685412101,2023-02-15T13:57:26.000Z
"('unidos', 'olvidar')",7200381427685412101,2023-02-15T13:57:26.000Z
"('crisis', 'poltica')",7202755001448500486,2023-02-21T23:28:08.000Z
"('evidencia', 'mentiras')",7192570780893416710,2023-01-25T12:48:12.000Z
"('mentiras', 'dina')",7192570780893416710,2023-01-25T12:48:12.000Z
"('joya', 'arequipa')",7191604399557463301,2023-01-22T22:18:08.000Z
"('arequipa', 'ejrcito')",7191604399557463301,2023-01-22T22:18:08.000Z
"('ejrcito', 'dispara')",7191604399557463301,2023-01-22T22:18:08.000Z
"('dispara', 'quemarropa')",7191604399557463301,2023-01-22T22:18:08.000Z
"('quemarropa', 'ciudadanos')",7191604399557463301,2023-01-22T22:18:08.000Z
"('ciudadanos', 'salieron')",7191604399557463301,2023-01-22T22:18:08.000Z
"('salieron', 'protestar')",7191604399557463301,2023-01-22T22:18:08.000Z
"('manera', 'pnp')",7193893221745937669,2023-01-29T02:20:01.000Z
"('pnp', 'reprimi')",7193893221745937669,2023-01-29T02:20:01.000Z
